Nummer,Titel,Mode,Genre,Publisher,Developer,Release,Version,Players
SWJ-SQR004,Hataraku Chocobo,Farbe,Simulation,SquareSoft,SquareSoft,21.09.2000,Classic,
SWJ-SQRC01,Final Fantasy,Farbe,RPG,SquareSoft,SquareSoft,09.12.2000,Color,
SWJ-SQRC02,Final Fantasy II,Farbe,RPG,SquareSoft,SquareSoft,02.05.2001,Color,
SWJ-SQRC04,Wild Card,Farbe,RPG-Card,SquareSoft,SquareSoft,29.03.2001,Color,1
SWJ-SQRC05,Blue Wing Blitz,beide,RPG,SquareSoft,SquareSoft,05.07.2001,Color,
SWJ-SQRC06,Hanjuku Eiy?: Aa Sekai Yo Hanjuku Nare,Farbe,RPG,SquareSoft,SquareSoft,14.02.2002,Color,
SWJ-SQRC07,Romancing SaGa,Farbe,RPG,SquareSoft,SquareSoft,20.12.2001,Color,
SWJ-SQRC08,Makai Toushi SaGa,Farbe,RPG,SquareSoft,Aspect ,20.03.2002,Color,
SWJ-SQRC09,Final Fantasy IV,Farbe,RPG,SquareSoft,Sting ,29.03.2002,Color,
SWJ-SQRC10,Front Mission,Farbe,Strategy,SquareSoft,G-Craft,12.07.2002,Crystal,2
SWJ-SRV001,Harobots,Monochrom,RPG,Sunrise,Sunrise,07.10.1999,Classic,
SWJ-SUM001,Mahjong Touryuumon,Monochrom,Board,Sammy,Chat Noir,11.03.1999,Classic,
SWJ-SUM002,Nice On,Monochrom,Sport,Sammy,Aisystem Tokyo,08.04.1999,Classic,2
SWJ-SUM003,Armored Unit,Monochrom,Strategy,Sammy,Sammy,18.11.1999,Classic,2
SWJ-SUM004,AnchorZ Field,Monochrom,Strategy,Sammy,Sammy,24.06.1999,Classic,2
SWJ-SUM005,Shogi Touryuumon,Monochrom,Board,Sammy,Sammy,28.10.1999,Classic,
SWJ-SUM006,Gomoku Narabe & Reversi Touryuumon,Monochrom,Board,Sammy,Sammy,13.01.2000,Classic,
SWJ-SUMC07,Guilty Gear Petit,Farbe,Fighting,Sammy,Arc System Works,25.01.2001,Color,
SWJ-SUMC08,Guilty Gear Petit 2,Farbe,Fighting,Sammy,Arc System Works,27.09.2001,Color,
SWJ-SUN001,Shanghai Pocket,Monochrom,Puzzle,SunSoft,SunSoft,01.04.1999,Classic,1
SWJ-SUN002,Space Invaders,Monochrom,Shooter,SunSoft,Taito ,13.05.1999,Classic,2
SWJ-SUN003,Puzzle Bobble,Monochrom,Puzzle,SunSoft,Yoshidayama Workshop,01.07.1999,Classic,
SWJ-SUN004,Ouchan no Oekaki Logic,Monochrom,Puzzle,SunSoft,Santaclaus ,06.01.2000,Classic,1
SWJ-TAT001,Densha de Go!,Monochrom,Simulation,Taito,Taito,04.03.1999,Classic,1
SWJ-TMCC01,Kurupara,Farbe,Puzzle,TomCreate,Tom Create,14.01.2001,Color,
SWJ-TMY001,Shin Nihon Pro Wrestling - T?kon Retsuden,Monochrom,Fighting,Tomy,Tomy,04.03.1999,Classic,
SWJ-VGDC01,Tetris,beide,Arcade,Bandai,Vanguard,18.04.2000,Color,2
SWJ-WIZC01,Gekitou! Clush Gear Turbo: Gear Champion League,Farbe,Action,Bandai,Wiz,10.08.2002,Crystal,2
SWJ-YKE001,Morita Shougi for WonderSwan,Monochrom,Board,Yuki Enterprise,Diverse,22.12.1999,Crystal,
WWGP2001A3,Judgement Silversword - Rebirth Edition,Farbe,Shooter,M-Kai,Qute ,02.02.2004,Crystal,1
WWGP2002B,Dicing Knight Period,Farbe,RPG,Qute,Dispositif ,09.06.2004,Crystal,1
- [Exportversion],Digimon Digital Monsters - Anode Tamer & Cathode Tamer - Veedramon Version,Farbe,RPG,Bandai,Sims,18.09.2001,Color,
- (playable demo),STAR HEARTS ~HOSHI TO DAICHI NO SHISHA~ TAIKENBAN[Trial Version],Farbe,RPG,Bandai,Bandai,27.09.2001,Color,
,Battle Spirit - Digimon Frontier(Korean Version),,,,,,,
